Type,SKU,Parent,Name,"Regular price","Sale price",Images,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
variable,lakme-absolute-plump-shine-lip-gloss,,"LakmÄ“ Absolute Plump & Shine Lip Gloss",800,680,,Color,"Beige Shine,Candy Shine,Plum Shine,Pink Shine,Red Shine,Cherry Shine,Crimson Shine,Rose Shine",1,1,Size,S,1,1
variation,'22783,lakme-absolute-plump-shine-lip-gloss,,800.00,680.00,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossBeigeShine.jpg?v=1734432971,,"Beige Shine",,,,S,,
variation,'22786,lakme-absolute-plump-shine-lip-gloss,,500.00,400.00,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossCandyShine.jpg?v=1734432971,,"Candy Shine",,,,S,,
variation,'22787,lakme-absolute-plump-shine-lip-gloss,,800.00,680.00,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossPlumShine.jpg?v=1734432971,,"Plum Shine",,,,S,,
variation,'23252,lakme-absolute-plump-shine-lip-gloss,,800.00,680.00,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossPinkShine.jpg?v=1734432971,,"Pink Shine",,,,S,,
variation,'23250,lakme-absolute-plump-shine-lip-gloss,,800.00,680.00,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossRedShine.jpg?v=1734432971,,"Red Shine",,,,S,,
variation,'22785,lakme-absolute-plump-shine-lip-gloss,,500.00,400.00,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossCherryShine.jpg?v=1734432971,,"Cherry Shine",,,,S,,
variation,'23256,lakme-absolute-plump-shine-lip-gloss,,500.00,400.00,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossCrimsonShine.jpg?v=1734432971,,"Crimson Shine",,,,S,,
variation,'23246,lakme-absolute-plump-shine-lip-gloss,,800.00,680.00,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/23246_S1-8901030476150_776b2325-83bd-43d7-b9ae-5297d441d8de.jpg?v=1734432971,,"Rose Shine",,,,S,,
simple,blooming-rose,,"Blooming Beauty Lipstick Combo",,2198,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/VB-BloomingBeauty.jpg?v=1734433790,Color,,1,1,Size,,1,1
